iter	Passed	Remaining
0	3	1067
1	3	588
2	4	434
3	4	338
4	4	282
5	4	242
6	5	215
7	5	193
8	5	176
9	5	164
10	5	153
11	6	144
12	6	139
13	6	132
14	6	126
15	6	121
16	7	117
17	7	113
18	7	109
19	7	105
20	7	102
21	7	98
22	8	96
23	8	93
24	8	91
25	8	88
26	8	87
27	8	85
28	8	83
29	9	81
30	9	80
31	9	78
32	9	77
33	9	75
34	9	74
35	10	73
36	10	72
37	10	71
38	10	70
39	10	70
40	10	69
41	11	68
42	11	67
43	11	67
44	11	66
45	11	65
46	12	64
47	12	64
48	12	63
49	12	62
50	12	62
51	12	61
52	13	60
53	13	60
54	13	59
55	13	59
56	13	59
57	14	58
58	14	58
59	14	57
60	14	57
61	14	56
62	14	56
63	15	55
64	15	55
65	15	54
66	15	54
67	15	54
68	16	54
69	16	53
70	16	53
71	16	53
72	17	53
73	17	52
74	17	52
75	17	51
76	17	51
77	18	51
78	18	51
79	18	51
80	18	50
81	19	50
82	19	50
83	19	50
84	19	49
85	19	49
86	20	49
87	20	49
88	20	48
89	20	48
90	21	48
91	21	48
92	21	48
93	21	47
94	22	47
95	22	47
96	22	46
97	22	46
98	22	46
99	23	46
100	23	46
101	23	46
102	24	46
103	24	45
104	24	45
105	24	45
106	25	45
107	25	44
108	25	44
109	25	44
110	25	44
111	26	43
112	26	43
113	26	43
114	26	43
115	27	42
116	27	42
117	27	42
118	27	42
119	28	42
120	28	42
121	28	42
122	29	41
123	29	41
124	29	41
125	29	41
126	29	40
127	30	40
128	30	40
129	30	40
130	31	40
131	31	39
132	31	39
133	31	39
134	31	38
135	32	38
136	32	38
137	32	38
138	32	38
139	33	37
140	33	37
141	33	37
142	33	37
143	34	36
144	34	36
145	34	36
146	34	36
147	34	35
148	35	35
149	35	35
150	35	35
151	35	35
152	36	34
153	36	34
154	36	34
155	37	34
156	37	33
157	37	33
158	37	33
159	37	33
160	38	32
161	38	32
162	38	32
163	38	32
164	39	31
165	39	31
166	39	31
167	40	31
168	40	31
169	40	31
170	40	30
171	41	30
172	41	30
173	41	30
174	41	29
175	42	29
176	42	29
177	42	29
178	42	28
179	42	28
180	43	28
181	43	28
182	43	27
183	43	27
184	44	27
185	44	27
186	44	26
187	44	26
188	45	26
189	45	26
190	45	26
191	46	25
192	46	25
193	46	25
194	46	25
195	46	24
196	47	24
197	47	24
198	47	24
199	47	23
200	48	23
201	48	23
202	48	23
203	48	22
204	49	22
205	49	22
206	49	22
207	49	22
208	50	21
209	50	21
210	50	21
211	51	21
212	51	21
213	51	20
214	52	20
215	52	20
216	52	20
217	52	19
218	52	19
219	53	19
220	53	19
221	53	18
222	54	18
223	54	18
224	54	18
225	54	17
226	54	17
227	54	17
228	55	17
229	55	16
230	55	16
231	55	16
232	56	16
233	56	15
234	56	15
235	57	15
236	57	15
237	57	15
238	57	14
239	58	14
240	58	14
241	58	14
242	58	13
243	58	13
244	59	13
245	59	13
246	60	12
247	60	12
248	60	12
249	60	12
250	61	11
251	61	11
252	61	11
253	61	11
254	62	10
255	62	10
256	62	10
257	63	10
258	63	10
259	63	9
260	63	9
261	64	9
262	64	9
263	64	8
264	64	8
265	64	8
266	65	8
267	65	7
268	65	7
269	65	7
270	66	7
271	66	6
272	66	6
273	66	6
274	66	6
275	67	5
276	67	5
277	67	5
278	68	5
279	68	4
280	68	4
281	68	4
282	69	4
283	69	3
284	69	3
285	69	3
286	69	3
287	70	2
288	70	2
289	70	2
290	70	2
291	71	1
292	71	1
293	71	1
294	71	1
295	72	0
296	72	0
297	72	0
298	72	0
299	72	0
